epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4741,2.88825,5.55662,9.94165,0.01998,12.8919,0,0,0,0,0.0002,0.02857,7e-05,6e-05,2.32062,5.48961,8.70972,0.01166,0,0.000269333,0.000269333,0.000269333
2,13.8913,3.15309,5.76597,9.94559,0.01771,12.9524,0.00034,0.02857,8e-05,2e-05,0.00034,0.02857,8e-05,6e-05,2.3945,5.34206,8.70559,0.01227,0,0.000571861,0.000571861,0.000571861
3,15.0805,3.02086,5.45854,9.94274,0.02053,12.8404,0,0,0,0,0,0,0,0,2.49552,5.29751,8.71561,0.01344,0,0.000873889,0.000873889,0.000873889
4,16.2325,1.93802,5.45723,7.73335,0.01131,12.4711,0.0085,0.09354,0.00617,0.00307,9e-05,0.01361,1e-05,1e-05,2.00846,6.7328,7.40694,0.01139,0,0.00090675,0.00090675,0.00090675
5,17.6987,1.76056,5.40498,7.631,0.00823,12.3515,0.01308,0.17442,0.00597,0.00251,0.00269,0.05493,0.00029,0.00012,1.91175,5.88988,7.28537,0.00989,0,0.000906,0.000906,0.000906
6,18.9214,2.75516,5.41233,9.88527,0.01656,12.1617,0.01697,0.09895,0.01315,0.00178,0.01305,0.04749,0.0146,0.0045,2.6448,6.10242,8.38112,0.01306,0,0.00090525,0.00090525,0.00090525
7,20.2187,2.77202,5.12709,9.1175,0.01619,11.7719,0.00514,0.07627,0.00467,0.00189,0.00377,0.04572,0.00435,0.00193,1.79398,5.10783,7.60567,0.00899,0,0.0009045,0.0009045,0.0009045
8,21.4595,1.6547,4.83942,7.89581,0.00758,11.3558,0.00594,0.10894,0.00481,0.00201,0.00051,0.01276,0.00322,0.00129,1.74,4.80297,7.59679,0.0078,0,0.000903751,0.000903751,0.000903751
9,22.7257,1.56681,5.09997,7.48578,0.00743,10.9645,0.01035,0.20892,0.02171,0.00733,0.00199,0.06144,0.00357,0.00131,1.50215,5.74432,7.22957,0.00686,0,0.000903001,0.000903001,0.000903001
10,24.237,1.43114,5.04896,7.55862,0.00708,10.643,0.01509,0.35217,0.04097,0.01861,0.00365,0.06563,0.00747,0.00486,1.33772,4.92364,7.09407,0.00551,0,0.000902251,0.000902251,0.000902251
11,25.7617,1.35776,4.26054,7.17388,0.00645,10.2565,0.0249,0.33638,0.03749,0.01856,0.00891,0.13694,0.0078,0.0027,1.42688,4.65753,7.16764,0.00599,0,0.000901501,0.000901501,0.000901501
12,27.0156,1.36047,4.27835,6.56333,0.00669,9.85459,0.0249,0.33638,0.03749,0.01856,0.00891,0.13694,0.0078,0.0027,1.42688,4.65753,7.16764,0.00599,0,0.000900751,0.000900751,0.000900751
13,28.3525,1.45574,4.12156,7.05557,0.00664,9.50347,0.01833,0.38826,0.03466,0.01516,0.00656,0.16551,0.01296,0.00376,1.51183,4.56589,7.06444,0.00659,0,0.000900001,0.000900001,0.000900001
14,29.946,1.32875,4.17588,7.17309,0.0063,9.21346,0.02577,0.44546,0.04133,0.01955,0.0086,0.1765,0.01039,0.00634,1.53774,4.27877,6.91886,0.007,0,0.000899251,0.000899251,0.000899251
15,31.4317,1.30356,4.02814,6.36733,0.0063,8.87743,0.02631,0.44104,0.04476,0.02368,0.00794,0.1765,0.00677,0.00423,1.43483,4.68543,6.8267,0.00592,0,0.000898501,0.000898501,0.000898501
16,33.2223,1.20073,4.07015,6.17952,0.00518,8.59473,0.02513,0.54129,0.05926,0.02834,0.00849,0.18748,0.00882,0.00497,1.40913,4.44363,6.57468,0.00599,0,0.000897751,0.000897751,0.000897751
17,34.7914,1.24469,3.99713,6.65476,0.00631,8.30343,0.02734,0.63719,0.08563,0.03961,0.00702,0.20956,0.00897,0.0057,1.38522,3.97939,6.37573,0.00618,0,0.000897001,0.000897001,0.000897001
18,36.3079,1.22015,4.05265,6.43814,0.00622,8.05888,0.02365,0.64817,0.10125,0.05063,0.0042,0.19435,0.02101,0.0169,1.32279,4.36404,6.24403,0.00645,0,0.000896251,0.000896251,0.000896251
19,37.9744,1.29993,4.09584,6.59772,0.00623,7.81111,0.02327,0.64981,0.09906,0.05508,0.00705,0.21718,0.03043,0.02531,1.33106,4.00501,6.11413,0.00547,0,0.000895501,0.000895501,0.000895501
20,39.563,1.22333,4.03259,6.16419,0.00488,7.57969,0.35815,0.17964,0.09047,0.04915,0.00785,0.22994,0.02547,0.01952,1.31539,3.86361,5.91422,0.00546,0,0.000894751,0.000894751,0.000894751
21,41.0351,1.264,3.95941,6.15513,0.00625,7.37774,0.02905,0.72516,0.095,0.05186,0.0105,0.26467,0.03331,0.02636,1.30774,3.74171,5.81674,0.00564,0,0.000894001,0.000894001,0.000894001
22,42.442,1.30236,3.82275,6.27355,0.0056,7.14231,0.02905,0.72516,0.095,0.05186,0.0105,0.26467,0.03331,0.02636,1.30774,3.74171,5.81674,0.00564,0,0.000893252,0.000893252,0.000893252
23,44.2994,1.12417,3.7509,6.02831,0.00438,6.9156,0.0266,0.7058,0.08857,0.05247,0.00996,0.24773,0.03076,0.02672,1.22248,3.70066,5.73419,0.00515,0,0.000892502,0.000892502,0.000892502
24,45.8903,1.12269,3.52854,6.98724,0.00479,6.70778,0.05916,0.53129,0.10441,0.05555,0.00929,0.24077,0.02944,0.02657,1.18583,3.70771,5.70195,0.00515,0,0.000891752,0.000891752,0.000891752
25,47.3924,1.15047,3.7526,5.57035,0.00455,6.51123,0.39176,0.2088,0.0987,0.05916,0.01049,0.26697,0.02382,0.01943,1.16851,3.60855,5.61803,0.0051,0,0.000891002,0.000891002,0.000891002
26,48.9148,1.12258,3.68636,5.57585,0.00473,6.35637,0.38789,0.20613,0.1134,0.06148,0.00963,0.27541,0.0222,0.01697,1.15338,3.53872,5.52801,0.00455,0,0.000890252,0.000890252,0.000890252
27,50.6602,1.13767,3.61827,5.83972,0.00504,6.14572,0.25617,0.28588,0.12835,0.07332,0.01187,0.34459,0.02685,0.01809,1.14258,3.5835,5.41415,0.00411,0,0.000889502,0.000889502,0.000889502
28,52.2225,1.0281,3.57041,5.59458,0.00454,5.98287,0.06091,0.62413,0.12828,0.07492,0.01917,0.2333,0.02501,0.01893,1.09911,3.52186,5.27811,0.00433,0,0.000888752,0.000888752,0.000888752
29,53.9549,1.11044,3.56315,5.65879,0.00463,5.77943,0.10805,0.46827,0.149,0.08514,0.03835,0.1598,0.02102,0.01622,1.3087,3.45477,5.25944,0.00537,0,0.000888002,0.000888002,0.000888002
30,55.4965,1.16529,3.47023,5.25462,0.00506,5.62561,0.23665,0.30835,0.13952,0.07824,0.03234,0.14261,0.0213,0.01486,1.1888,3.55627,5.13954,0.00483,0,0.000887252,0.000887252,0.000887252
31,57.0865,1.15905,3.78246,5.26817,0.00498,5.46627,0.23933,0.18567,0.14359,0.08333,0.02855,0.18925,0.02057,0.01559,1.14972,3.50747,5.05501,0.0043,0,0.000886502,0.000886502,0.000886502
32,58.6564,1.08554,3.49289,5.24531,0.00438,5.31254,0.23933,0.18567,0.14359,0.08333,0.02855,0.18925,0.02057,0.01559,1.14972,3.50747,5.05501,0.0043,0,0.000885752,0.000885752,0.000885752
33,60.1929,1.05174,3.44831,4.85702,0.0038,5.16677,0.13242,0.2316,0.14025,0.0818,0.01586,0.35423,0.02217,0.01652,1.14209,3.48741,4.96268,0.00415,0,0.000885002,0.000885002,0.000885002
34,61.589,1.03957,3.3983,5.46121,0.00401,5.05331,0.1188,0.28948,0.14526,0.09042,0.0279,0.28668,0.02479,0.01839,1.11765,3.42688,4.87001,0.0041,0,0.000884252,0.000884252,0.000884252
35,63.2059,0.94786,3.41947,5.09912,0.00384,4.91358,0.10353,0.20335,0.14696,0.09056,0.03165,0.20971,0.02321,0.01734,1.07416,3.43424,4.83854,0.00372,0,0.000883503,0.000883503,0.000883503
36,64.8155,0.98259,3.3352,4.85053,0.00405,4.79304,0.11329,0.2744,0.14967,0.0962,0.03811,0.08502,0.02214,0.0166,1.12151,3.35877,4.78501,0.00393,0,0.000882753,0.000882753,0.000882753
37,66.3988,1.01677,3.22424,4.84255,0.00441,4.67517,0.10643,0.2996,0.14438,0.09632,0.02683,0.06823,0.02256,0.01582,1.05649,3.29583,4.69224,0.00404,0,0.000882003,0.000882003,0.000882003
38,67.8088,1.00647,3.12946,4.89763,0.00444,4.57976,0.11173,0.26097,0.17554,0.10835,0.02779,0.15819,0.02456,0.01758,0.99146,3.22181,4.64135,0.00364,0,0.000881253,0.000881253,0.000881253
39,69.3633,1.04979,3.24721,4.71244,0.00432,4.45311,0.11773,0.20783,0.18451,0.10306,0.02325,0.05236,0.02655,0.01922,1.13282,3.26721,4.61825,0.00467,0,0.000880503,0.000880503,0.000880503
40,71.163,1.17481,3.15035,4.74818,0.00586,4.34071,0.1253,0.19943,0.17737,0.10725,0.25884,0.02198,0.03298,0.02669,1.11035,3.177,4.53709,0.00492,0,0.000879753,0.000879753,0.000879753
