epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1.37902,1.12667,1.42951,1.00706,0.00467,0.5381,0.92418,0.89817,0.91319,0.68331,0.95666,0.92945,0.96225,0.73357,0.9797,0.75276,0.58296,0.00453,0,0.000622222,0.000622222,0.000622222
2,2.95151,0.96748,1.09288,0.64514,0.00335,0.30135,0.87447,0.91579,0.89925,0.65416,0.92916,0.94386,0.96133,0.72007,1.04701,0.85899,0.66098,0.0052,0,0.00128676,0.00128676,0.00128676
3,4.53323,1.13406,1.67276,0.79116,0.00341,0.3902,0.87447,0.91579,0.89925,0.65416,0.92916,0.94386,0.96133,0.72007,1.04701,0.85899,0.66098,0.0052,0,0.0019491,0.0019491,0.0019491
4,5.95516,1.15319,3.40439,0.73297,0.00374,0.24452,0.92193,0.88772,0.92948,0.71249,0.9501,0.88772,0.93935,0.58741,0.86372,1.23387,0.42645,0.00438,0,0.0019901,0.0019901,0.0019901
5,7.36736,1.16431,2.79157,0.7301,0.00413,0.36833,0.89974,0.8807,0.90995,0.69818,0.91049,0.89123,0.91645,0.55968,0.86428,0.97404,0.50652,0.00503,0,0.0019868,0.0019868,0.0019868
6,8.99985,1.37875,1.5485,0.73261,0.00533,0.52213,0.89974,0.8807,0.90995,0.69818,0.91049,0.89123,0.91645,0.55968,0.86428,0.97404,0.50652,0.00503,0,0.0019835,0.0019835,0.0019835
7,10.3863,1.30231,1.83767,0.69976,0.00462,0.59994,0.92533,0.85965,0.9171,0.70234,0.7584,0.77895,0.71039,0.36333,0.8709,1.72935,0.51644,0.0052,0,0.0019802,0.0019802,0.0019802
8,11.7915,1.33186,1.81807,0.72454,0.00471,0.39319,0.87428,0.9028,0.90308,0.69712,0.86465,0.84912,0.84591,0.49014,0.84293,1.17163,0.54656,0.00479,0,0.0019769,0.0019769,0.0019769
9,13.1054,1.28885,1.29893,0.67145,0.0048,0.16625,0.87311,0.89123,0.9003,0.69217,0.8984,0.89981,0.91063,0.5814,0.84614,0.94697,0.53196,0.00482,0,0.0019736,0.0019736,0.0019736
10,14.6043,1.25691,1.11897,0.67549,0.00487,0.3242,0.87311,0.89123,0.9003,0.69217,0.8984,0.89981,0.91063,0.5814,0.84614,0.94697,0.53196,0.00482,0,0.0019703,0.0019703,0.0019703
