epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.684,1.17296,2.56954,2.21005,0.0064,0.67183,0.64701,0.57576,0.66837,0.47673,0.39819,0.38047,0.34108,0.15997,1.00024,1.56359,1.48339,0.00615,0,0.000662879,0.000662879,0.000662879
2,44.9805,1.18413,2.22682,1.49539,0.00699,0.19618,0.63776,0.64646,0.71163,0.51331,0.5516,0.28283,0.31851,0.18059,1.00494,1.58055,1.33679,0.00623,0,0.00132735,0.00132735,0.00132735
3,63.3715,1.27667,2.35836,1.40639,0.00739,0.17626,0.70832,0.695,0.77324,0.49769,0.48911,0.30976,0.29196,0.15681,1.12422,1.67702,1.19167,0.00658,0,0.00198962,0.00198962,0.00198962
4,81.3363,1.28992,2.3103,1.31044,0.00726,0.2199,0.71969,0.70021,0.78427,0.51496,0.40181,0.43771,0.33237,0.16051,1.17029,1.44134,1.09421,0.00846,0,0.0019901,0.0019901,0.0019901
5,99.4724,1.21898,2.26904,1.2962,0.00687,0.16377,0.59691,0.66314,0.71299,0.5225,0.29971,0.38721,0.31846,0.17286,0.93366,1.45703,1.17638,0.00533,0,0.0019868,0.0019868,0.0019868
6,117.768,1.21629,2.11431,1.20587,0.00685,0.11059,0.66883,0.7037,0.7525,0.51972,0.49814,0.52189,0.42288,0.18462,1.03421,1.32921,1.05619,0.00598,0,0.0019835,0.0019835,0.0019835
7,135.543,1.18706,2.03703,1.15338,0.00691,0.11698,0.65701,0.74074,0.77493,0.57096,0.46034,0.57239,0.45448,0.19896,0.90661,1.18342,0.98487,0.00566,0,0.0019802,0.0019802,0.0019802
8,152.064,1.16006,1.85472,1.08098,0.00668,0.15432,0.74348,0.73737,0.81885,0.61474,0.59144,0.58249,0.56889,0.27177,0.91108,1.14543,0.84353,0.00561,0,0.0019769,0.0019769,0.0019769
9,168.692,1.12007,1.78723,1.04263,0.00602,0.12619,0.75202,0.73519,0.81923,0.63352,0.64468,0.61953,0.64445,0.35685,0.81785,0.98003,0.9213,0.00496,0,0.0019736,0.0019736,0.0019736
10,185.459,1.1311,1.65727,1.01165,0.00619,0.11061,0.76412,0.79624,0.87476,0.66774,0.67114,0.6936,0.72784,0.39706,0.85588,1.17655,0.73793,0.00507,0,0.0019703,0.0019703,0.0019703
