epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6708,1.87536,4.25535,3.4605,0.0117,4.0143,0.02119,0.59933,0.3608,0.17714,0.00417,0.11785,0.0389,0.02124,1.35111,3.26119,3.3903,0.00873,0,0.000633333,0.000633333,0.000633333
2,21.1651,1.32899,2.93919,2.01967,0.00715,0.34855,0.02738,0.77441,0.49135,0.18896,0.00786,0.22222,0.05114,0.02953,1.22082,2.41893,3.05907,0.00796,0,0.00129786,0.00129786,0.00129786
3,26.074,1.34682,2.7736,1.74994,0.00759,0.21258,0.69472,0.19865,0.52976,0.28209,0.13977,0.19422,0.04644,0.01883,1.18146,3.09875,2.8045,0.0075,0,0.00196018,0.00196018,0.00196018
4,31.0799,1.3079,2.76273,1.4831,0.00663,0.18485,0.76048,0.55589,0.71489,0.42441,0.35129,0.27273,0.20052,0.05629,1.29066,2.38971,2.24826,0.0081,0,0.0019901,0.0019901,0.0019901
5,35.9909,1.26538,2.63714,1.40462,0.00645,0.15547,0.7105,0.72391,0.79027,0.51436,0.21641,0.31987,0.14583,0.05274,1.09244,3.18541,1.5032,0.00625,0,0.0019868,0.0019868,0.0019868
6,40.9925,1.24055,2.53803,1.24578,0.00611,0.14555,0.63952,0.6431,0.70111,0.47954,0.28018,0.37374,0.1653,0.05745,1.11983,2.36808,1.42891,0.00649,0,0.0019835,0.0019835,0.0019835
7,45.7183,1.24287,2.47251,1.18784,0.00672,0.11729,0.65386,0.60943,0.70372,0.45677,0.29977,0.30303,0.18117,0.097,1.24438,2.12889,1.44956,0.00737,0,0.0019802,0.0019802,0.0019802
8,50.4587,1.23918,2.35874,1.15008,0.00657,0.117,0.70991,0.67565,0.75982,0.52984,0.32487,0.40741,0.26496,0.11182,1.10659,2.02882,1.24641,0.00694,0,0.0019769,0.0019769,0.0019769
9,55.8669,1.215,2.25974,1.10723,0.0061,0.14492,0.70225,0.78788,0.80448,0.51298,0.37854,0.47475,0.37161,0.14356,1.27746,1.78607,1.21495,0.0078,0,0.0019736,0.0019736,0.0019736
10,61.3285,1.16779,2.204,1.07556,0.00609,0.12625,0.68862,0.72227,0.77322,0.54847,0.37207,0.54545,0.34713,0.12126,1.02323,1.79695,1.13103,0.0057,0,0.0019703,0.0019703,0.0019703
11,66.3602,1.14281,2.22055,1.03141,0.00581,0.09971,0.66674,0.73401,0.75765,0.52505,0.47659,0.39731,0.37035,0.15069,1.1418,1.76132,1.11346,0.0065,0,0.001967,0.001967,0.001967
12,71.3568,1.12242,2.15306,1.0143,0.00542,0.11225,0.7445,0.75758,0.82067,0.58842,0.48109,0.56188,0.46058,0.20713,1.06483,1.79391,0.9208,0.00594,0,0.0019637,0.0019637,0.0019637
13,76.384,1.08517,2.14647,0.97487,0.00518,0.07301,0.74459,0.7362,0.80883,0.59212,0.49636,0.61279,0.51061,0.21191,0.96689,1.71833,0.90804,0.00576,0,0.0019604,0.0019604,0.0019604
14,81.5147,1.07315,2.11863,0.92806,0.00507,0.07319,0.7606,0.76094,0.83289,0.59751,0.45022,0.63973,0.47575,0.21175,1.01143,1.5638,0.93916,0.00602,0,0.0019571,0.0019571,0.0019571
15,86.2247,1.05526,2.02319,0.92538,0.00524,0.09592,0.69913,0.77778,0.81131,0.59899,0.55459,0.60943,0.54161,0.22413,0.98504,1.98871,0.98579,0.00554,0,0.0019538,0.0019538,0.0019538
16,91.3889,1.07834,2.09232,0.91683,0.00503,0.09237,0.71545,0.80808,0.82974,0.58919,0.47372,0.51852,0.44466,0.19666,1.08059,1.73926,0.9324,0.00619,0,0.0019505,0.0019505,0.0019505
