epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50782,1.12207,1.57404,0.89738,0.00372,0.64678,0.93812,0.90423,0.92696,0.75689,0.94698,0.92281,0.95387,0.68676,0.70497,0.66124,0.41656,0.00312,0,0.000622222,0.000622222,0.000622222
2,3.18496,0.84848,1.16573,0.54045,0.00246,0.33962,0.94082,0.89825,0.92754,0.74003,0.96746,0.92632,0.96471,0.6806,0.82398,0.71088,0.43496,0.00407,0,0.00128676,0.00128676,0.00128676
3,4.69089,1.17428,1.71883,0.67579,0.00385,0.42571,0.94082,0.89825,0.92754,0.74003,0.96746,0.92632,0.96471,0.6806,0.82398,0.71088,0.43496,0.00407,0,0.0019491,0.0019491,0.0019491
4,6.22106,1.19973,1.77438,0.66148,0.00337,0.32646,0.90004,0.87368,0.90955,0.6862,0.85543,0.83048,0.83765,0.51297,0.91483,1.60857,0.53007,0.00437,0,0.0019901,0.0019901,0.0019901
5,7.89731,1.07835,1.64961,0.68684,0.00331,0.325,0.88612,0.90097,0.91321,0.64019,0.91027,0.92543,0.93631,0.65432,1.00322,0.92441,0.5244,0.0047,0,0.0019868,0.0019868,0.0019868
6,9.54403,0.9829,1.15686,0.60234,0.00293,0.48417,0.88612,0.90097,0.91321,0.64019,0.91027,0.92543,0.93631,0.65432,1.00322,0.92441,0.5244,0.0047,0,0.0019835,0.0019835,0.0019835
7,10.9279,1.10187,1.08658,0.61119,0.00322,0.36553,0.8921,0.8703,0.89188,0.62475,0.9094,0.9193,0.92764,0.63908,1.01789,1.08332,0.5739,0.00461,0,0.0019802,0.0019802,0.0019802
8,12.4036,1.12197,1.17999,0.59759,0.00326,0.2924,0.90849,0.87083,0.91892,0.66953,0.93262,0.92279,0.95713,0.64467,0.95287,1.08897,0.54044,0.00434,0,0.0019769,0.0019769,0.0019769
9,14.0303,1.05065,1.10301,0.58316,0.0032,0.07846,0.90562,0.86667,0.90738,0.66214,0.92998,0.91579,0.95723,0.64283,0.96053,1.12638,0.53958,0.0044,0,0.0019736,0.0019736,0.0019736
10,15.7197,1.0941,1.03814,0.60829,0.00348,0.26409,0.90562,0.86667,0.90738,0.66214,0.92998,0.91579,0.95723,0.64283,0.96053,1.12638,0.53958,0.0044,0,0.0019703,0.0019703,0.0019703
11,17.1593,1.0152,1.0584,0.62664,0.00279,0.18928,0.90672,0.87368,0.91758,0.67078,0.91647,0.92391,0.95312,0.63174,0.9647,1.04367,0.51091,0.00461,0,0.001967,0.001967,0.001967
12,18.7667,0.86301,0.9251,0.52304,0.00264,0.2119,0.91785,0.88772,0.93242,0.69469,0.92185,0.89123,0.93989,0.63602,0.95155,1.04311,0.52753,0.00422,0,0.0019637,0.0019637,0.0019637
13,20.3726,0.88922,0.95978,0.51862,0.00242,0.17812,0.91785,0.88772,0.93242,0.69469,0.92185,0.89123,0.93989,0.63602,0.95155,1.04311,0.52753,0.00422,0,0.0019604,0.0019604,0.0019604
14,21.8578,0.89871,1.01351,0.56355,0.0025,0.28079,0.92824,0.86233,0.92822,0.68875,0.93579,0.86935,0.93928,0.63286,0.97198,0.86658,0.51281,0.00445,0,0.0019571,0.0019571,0.0019571
15,23.4542,0.88917,0.93663,0.48839,0.00261,0.10142,0.89486,0.89595,0.93112,0.70319,0.92267,0.88421,0.94182,0.62138,0.91392,0.84795,0.47883,0.00417,0,0.0019538,0.0019538,0.0019538
16,25.0175,0.81599,0.84837,0.51418,0.0024,0.17816,0.92087,0.89833,0.93383,0.68401,0.92377,0.89289,0.94262,0.60772,0.99448,0.80659,0.4931,0.0047,0,0.0019505,0.0019505,0.0019505
17,26.7017,0.91595,1.02941,0.57124,0.00219,0.26786,0.92087,0.89833,0.93383,0.68401,0.92377,0.89289,0.94262,0.60772,0.99448,0.80659,0.4931,0.0047,0,0.0019472,0.0019472,0.0019472
