epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2517,1.31216,2.09067,0.96555,0.00422,0.71912,0.93102,0.89978,0.91853,0.6814,0.97095,0.93832,0.97604,0.73526,0.90919,0.70342,0.52987,0.00392,0,0.000277778,0.000277778,0.0725
2,13.8125,1.20365,1.72559,0.76137,0.0039,0.36126,0.91881,0.89123,0.89228,0.64926,0.96752,0.94386,0.9759,0.72775,0.96908,0.85057,0.61048,0.00463,0,0.000610103,0.000610103,0.039499
3,15.1294,1.31394,2.13305,0.95246,0.00438,0.59531,0.91881,0.89123,0.89228,0.64926,0.96752,0.94386,0.9759,0.72775,0.96908,0.85057,0.61048,0.00463,0,0.000941328,0.000941328,0.00649688
4,16.5757,1.16457,2.19684,0.79003,0.00335,0.29914,0.89504,0.91228,0.91394,0.67546,0.95981,0.94386,0.97775,0.70305,0.91777,0.71608,0.51921,0.00466,0,0.00099505,0.00099505,0.00099505
5,17.9952,1.02218,1.73416,0.66894,0.00378,0.18307,0.90016,0.91228,0.91482,0.66228,0.94748,0.94944,0.97805,0.69478,0.97389,0.85845,0.50979,0.00524,0,0.0009934,0.0009934,0.0009934
6,19.4625,0.94619,1.5541,0.56081,0.00351,0.39489,0.93003,0.88619,0.91501,0.68964,0.96109,0.92982,0.96596,0.70205,0.85888,0.85201,0.464,0.00443,0,0.00099175,0.00099175,0.00099175
7,20.9397,0.90203,1.19846,0.68517,0.00261,0.33184,0.93003,0.88619,0.91501,0.68964,0.96109,0.92982,0.96596,0.70205,0.85888,0.85201,0.464,0.00443,0,0.0009901,0.0009901,0.0009901
8,22.3067,0.97442,1.1901,0.67299,0.00258,0.27174,0.93157,0.90753,0.9314,0.71775,0.94271,0.90526,0.93903,0.62038,0.81877,1.03097,0.42364,0.00412,0,0.00098845,0.00098845,0.00098845
9,23.7867,0.92038,1.1799,0.55734,0.00268,0.17593,0.91122,0.91579,0.92611,0.71387,0.94125,0.89951,0.91898,0.58981,0.80652,1.15229,0.41831,0.00408,0,0.0009868,0.0009868,0.0009868
10,25.2509,0.9102,1.17271,0.63867,0.00277,0.23645,0.90414,0.9193,0.9269,0.70913,0.93093,0.89848,0.92467,0.62427,0.84148,1.14656,0.48143,0.00438,0,0.00098515,0.00098515,0.00098515
11,26.5912,0.90966,1.18804,0.52622,0.00257,0.35225,0.90414,0.9193,0.9269,0.70913,0.93093,0.89848,0.92467,0.62427,0.84148,1.14656,0.48143,0.00438,0,0.0009835,0.0009835,0.0009835
12,28.1485,0.89708,1.23687,0.56454,0.00233,0.29783,0.89376,0.90526,0.91318,0.68,0.94162,0.90548,0.93658,0.66615,0.90627,1.11676,0.54199,0.0049,0,0.00098185,0.00098185,0.00098185
13,29.5662,0.8401,0.98303,0.49874,0.00232,0.19194,0.89294,0.89474,0.90403,0.66277,0.93608,0.92491,0.94741,0.68936,0.97534,1.24583,0.5565,0.0053,0,0.0009802,0.0009802,0.0009802
14,31.0801,0.78255,0.9554,0.50154,0.00203,0.17798,0.88828,0.89277,0.90834,0.653,0.96695,0.90175,0.94699,0.69589,1.02018,1.00312,0.57055,0.00543,0,0.00097855,0.00097855,0.00097855
15,32.5469,0.81672,0.97636,0.50715,0.00254,0.28891,0.88828,0.89277,0.90834,0.653,0.96695,0.90175,0.94699,0.69589,1.02018,1.00312,0.57055,0.00543,0,0.0009769,0.0009769,0.0009769
16,33.9778,0.95206,1.20429,0.5885,0.00237,0.29667,0.88139,0.88647,0.90028,0.64171,0.96597,0.89645,0.94649,0.69779,1.03318,1.05637,0.61724,0.00531,0,0.00097525,0.00097525,0.00097525
17,35.4528,0.81232,0.88741,0.52885,0.00222,0.36067,0.91695,0.85223,0.89041,0.63701,0.92651,0.93684,0.95204,0.70198,1.02426,1.1198,0.64992,0.00523,0,0.0009736,0.0009736,0.0009736
18,36.9745,0.82665,1.06509,0.52638,0.00216,0.39307,0.87544,0.87368,0.8827,0.63847,0.94175,0.94035,0.95581,0.70151,1.00142,1.1585,0.66528,0.005,0,0.00097195,0.00097195,0.00097195
19,38.585,0.83752,0.98402,0.54637,0.00235,0.41885,0.87544,0.87368,0.8827,0.63847,0.94175,0.94035,0.95581,0.70151,1.00142,1.1585,0.66528,0.005,0,0.0009703,0.0009703,0.0009703
