epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0809,1.4961,3.42204,2.30818,0.00854,1.42928,0.69541,0.54882,0.67077,0.41115,0.30419,0.20875,0.13701,0.05017,1.25301,2.64945,1.53051,0.00714,0,0.000649123,0.000649123,0.000649123
2,23.3504,1.30046,2.63528,1.3944,0.00708,0.21667,0.61308,0.64555,0.7043,0.44748,0.28642,0.21886,0.2065,0.10038,1.2744,2.11992,1.26834,0.00884,0,0.00131362,0.00131362,0.00131362
3,29.6616,1.26015,2.79459,1.22872,0.00675,0.13158,0.63558,0.68119,0.702,0.44719,0.27503,0.21212,0.18774,0.08898,1.23576,2.5448,1.65597,0.00824,0,0.00197591,0.00197591,0.00197591
4,35.8043,1.36801,2.6839,1.24097,0.00733,0.13638,0.76233,0.76431,0.80134,0.50301,0.48099,0.14141,0.17961,0.10119,1.23403,2.37606,1.28845,0.00698,0,0.0019901,0.0019901,0.0019901
5,42.0246,1.32166,2.5979,1.14208,0.00689,0.13745,0.68112,0.77778,0.78808,0.56374,0.3433,0.26936,0.22757,0.12622,1.10442,2.0748,1.05036,0.00641,0,0.0019868,0.0019868,0.0019868
6,48.2188,1.27041,2.42541,1.0515,0.00691,0.09183,0.63772,0.6579,0.69426,0.44119,0.33774,0.35029,0.22793,0.1096,1.24801,2.16792,1.21599,0.0076,0,0.0019835,0.0019835,0.0019835
7,53.9639,1.22135,2.35953,1.03392,0.00658,0.07814,0.70611,0.67145,0.74609,0.51396,0.3796,0.3367,0.28168,0.1347,1.19236,1.94135,0.99844,0.00686,0,0.0019802,0.0019802,0.0019802
8,59.7724,1.2493,2.29895,1.05101,0.00673,0.08618,0.77639,0.7138,0.8431,0.58564,0.41797,0.50776,0.35773,0.17427,1.14744,1.77383,1.00789,0.00676,0,0.0019769,0.0019769,0.0019769
9,65.8929,1.18681,2.19444,0.97063,0.00616,0.07931,0.74963,0.77104,0.81501,0.58587,0.43466,0.53199,0.40201,0.18229,1.07665,1.65238,0.86342,0.00606,0,0.0019736,0.0019736,0.0019736
10,72.3012,1.10851,2.11711,0.94158,0.00559,0.09097,0.79493,0.73401,0.808,0.5775,0.46399,0.50715,0.44317,0.21305,1.07394,1.68119,0.93044,0.00631,0,0.0019703,0.0019703,0.0019703
11,78.5486,1.08586,2.08965,0.93394,0.0052,0.07422,0.80079,0.75793,0.84919,0.64447,0.52073,0.59264,0.50001,0.23552,0.94775,1.68612,0.84481,0.00532,0,0.001967,0.001967,0.001967
12,84.8126,1.09858,2.04527,0.93974,0.00566,0.10757,0.80383,0.75421,0.85419,0.60217,0.61495,0.67677,0.64555,0.26892,1.05281,1.52331,0.84449,0.00604,0,0.0019637,0.0019637,0.0019637
13,90.8546,1.09405,2.09165,0.92271,0.00545,0.09921,0.70762,0.73342,0.77126,0.59455,0.36731,0.55219,0.40125,0.20222,0.91165,1.66399,0.86737,0.00496,0,0.0019604,0.0019604,0.0019604
14,96.9317,1.077,2.02399,0.92409,0.00531,0.14825,0.84051,0.6532,0.81062,0.60733,0.59057,0.6229,0.58915,0.272,0.97282,1.43285,0.94852,0.0055,0,0.0019571,0.0019571,0.0019571
15,103.203,1.07873,2.00584,0.90937,0.00528,0.12098,0.7822,0.70134,0.8125,0.58755,0.52116,0.54545,0.46786,0.2117,1.07317,1.63052,1.02685,0.00591,0,0.0019538,0.0019538,0.0019538
16,109.264,1.04808,1.95537,0.90948,0.00504,0.08721,0.63532,0.73064,0.76352,0.59297,0.4844,0.56902,0.50717,0.25527,0.91443,1.45673,0.96434,0.00506,0,0.0019505,0.0019505,0.0019505
17,115.376,1.07556,1.99131,0.92537,0.00545,0.08516,0.78708,0.72054,0.82086,0.62097,0.48345,0.61616,0.50542,0.25675,1.00484,1.44502,0.83722,0.00624,0,0.0019472,0.0019472,0.0019472
18,121.406,1.11425,1.9282,0.88864,0.00586,0.09513,0.77412,0.77441,0.84309,0.61531,0.5515,0.58586,0.56687,0.27198,1.0303,1.48825,0.85623,0.00651,0,0.0019439,0.0019439,0.0019439
19,128.261,1.07068,1.86116,0.87765,0.00531,0.07783,0.66792,0.77881,0.80424,0.62822,0.53573,0.62626,0.55898,0.28484,0.89123,1.34901,0.88215,0.00489,0,0.0019406,0.0019406,0.0019406
20,135.073,1.03729,1.83154,0.86634,0.00502,0.1116,0.78503,0.73064,0.82818,0.64239,0.59583,0.63534,0.63349,0.30969,0.90218,1.31618,0.79493,0.00495,0,0.0019373,0.0019373,0.0019373
21,141.624,1.04109,1.83889,0.85919,0.00504,0.07171,0.79991,0.78073,0.85504,0.64835,0.61358,0.61484,0.58781,0.30705,0.98613,1.33508,0.75465,0.00587,0,0.001934,0.001934,0.001934
22,148.175,1.05176,1.79435,0.85415,0.00524,0.05387,0.78243,0.76431,0.85352,0.64195,0.63561,0.62626,0.65835,0.32242,0.95557,1.34263,0.77559,0.0057,0,0.0019307,0.0019307,0.0019307
23,154.485,1.04278,1.76137,0.83007,0.00516,0.06982,0.82954,0.74747,0.86566,0.66023,0.70206,0.62677,0.69498,0.32502,0.91094,1.33702,0.83706,0.0052,0,0.0019274,0.0019274,0.0019274
24,161.214,1.02258,1.73829,0.80959,0.00497,0.05756,0.80609,0.77778,0.88048,0.68989,0.66348,0.63973,0.66661,0.33916,0.86461,1.25464,0.73925,0.0048,0,0.0019241,0.0019241,0.0019241
25,167.468,0.97652,1.70886,0.82386,0.00464,0.06084,0.80969,0.80808,0.87958,0.68475,0.75984,0.71044,0.75401,0.37873,0.87907,1.22535,0.71035,0.00478,0,0.0019208,0.0019208,0.0019208
26,173.683,0.98727,1.67569,0.80852,0.00463,0.05454,0.75509,0.73401,0.82875,0.64584,0.61076,0.77104,0.74499,0.38053,0.90207,1.29534,0.80167,0.00522,0,0.0019175,0.0019175,0.0019175
27,179.376,1.0607,1.7733,0.82253,0.00523,0.05545,0.76582,0.73064,0.84106,0.66291,0.62072,0.64646,0.6742,0.33541,0.83092,1.29742,0.78288,0.00475,0,0.0019142,0.0019142,0.0019142
28,185.113,1.00127,1.6216,0.82574,0.00497,0.0746,0.79657,0.74747,0.85429,0.64593,0.61108,0.68687,0.65596,0.32645,0.91974,1.23282,0.80628,0.00519,0,0.0019109,0.0019109,0.0019109
29,190.909,0.99186,1.59725,0.79616,0.00467,0.08357,0.78255,0.78762,0.87105,0.68469,0.68554,0.68998,0.73462,0.38437,0.87028,1.22845,0.73595,0.00495,0,0.0019076,0.0019076,0.0019076
