epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9161,1.87536,4.25535,3.4605,0.0117,4.0143,0.02119,0.59933,0.3617,0.17768,0.00417,0.11785,0.03866,0.02103,1.35111,3.26119,3.3903,0.00873,0,0.000633333,0.000633333,0.000633333
2,56.1144,1.33428,2.9351,2.02948,0.0072,0.34926,0.02702,0.76431,0.48546,0.18547,0.00738,0.20875,0.04899,0.02788,1.16874,2.4392,3.10733,0.00763,0,0.00129871,0.00129871,0.00129871
3,68.1104,1.34996,2.83237,1.74703,0.00754,0.21557,0.25622,0.80135,0.55554,0.31968,0.08787,0.23906,0.04442,0.02422,1.30484,2.97366,2.80585,0.00852,0,0.00196277,0.00196277,0.00196277
4,80.2705,1.29756,2.70429,1.43588,0.00669,0.15946,0.69952,0.66628,0.73148,0.45561,0.22998,0.23232,0.08148,0.02543,1.22838,2.67896,1.96646,0.00769,0,0.00199406,0.00199406,0.00199406
5,92.611,1.24645,2.6487,1.35025,0.00629,0.15804,0.66034,0.69385,0.73855,0.46904,0.30912,0.3165,0.16101,0.0554,1.1973,2.38906,1.63346,0.00702,0,0.00199208,0.00199208,0.00199208
6,104.652,1.21826,2.50222,1.2095,0.00592,0.15373,0.65104,0.78451,0.76385,0.52213,0.27238,0.26936,0.18007,0.09626,1.13301,2.52489,1.3662,0.00686,0,0.0019901,0.0019901,0.0019901
7,116.823,1.19814,2.38503,1.15875,0.0062,0.10529,0.66282,0.68687,0.75054,0.53433,0.30058,0.3266,0.18992,0.09425,1.02908,2.06981,1.24432,0.00586,0,0.00198812,0.00198812,0.00198812
8,128.741,1.1268,2.33384,1.0857,0.00558,0.09696,0.76299,0.72391,0.78319,0.54835,0.41173,0.45118,0.32902,0.13292,1.1148,1.93595,1.07592,0.00678,0,0.00198614,0.00198614,0.00198614
9,140.885,1.18065,2.25902,1.06797,0.00585,0.14755,0.68671,0.6936,0.75288,0.53458,0.32199,0.4845,0.33914,0.15897,1.10728,1.83155,1.16756,0.00636,0,0.00198416,0.00198416,0.00198416
10,152.997,1.134,2.21788,1.06864,0.00568,0.1199,0.69874,0.75421,0.78468,0.57434,0.48635,0.47475,0.42939,0.17009,1.07485,1.85328,1.01857,0.00638,0,0.00198218,0.00198218,0.00198218
